EVC_NO,USER_ID,START_DATE,START_TIME,END_DATE,END_TIME,VAC_HRS,STATUS,START_FLAG,AGENT_NO,VAC_TYPE,DEL_FLAG,REMARK,CREATED_BY,CREATION_DATE,LAST_UPDATED_BY,LAST_UPDATE_DATE,SUBMIT_TIME,DELAY_FLAG,SOURCE_NUMBER
EVC202203080661,S20100,2022-03-11,0930,2022-03-11,1830,8,Y,Y,S000A3,1V,N,,S20100,"2022-03-08 09:46:05",S20100,"2022-03-08 09:46:05","2022-03-08 09:46:05",N,NULL
EVC202203080662,A40069,2022-03-08,1500,2022-03-08,1800,3,Y,Y,A40103,1V,N,家裡有事,A40069,"2022-03-08 11:03:45",A40069,"2022-03-08 11:03:45","2022-03-08 11:03:45",N,NULL
EVC202203080663,S20108,2022-03-09,0900,2022-03-09,1800,8,F,Y,S20100,E,N,送件維修,S20108,"2022-03-08 13:25:09",S20108,"2022-03-08 13:25:09","2022-03-08 13:25:10",N,NULL
EVC202203080664,S20108,2022-03-10,0900,2022-03-10,1800,8,Y,Y,S20100,E,N,面試人員,S20108,"2022-03-08 13:26:10",S20108,"2022-03-08 13:26:10","2022-03-08 13:26:10",N,NULL
EVC202203090665,G00004,2022-03-11,0930,2022-03-11,1830,8,Y,Y,G20041,C,N,特休假,G00004,"2022-03-09 11:15:33",G00004,"2022-03-09 11:15:33","2022-03-09 11:15:34",N,NULL
EVC202203090666,A40082,2022-03-17,0930,2022-03-18,1830,16,Y,Y,L20068,I1,N,疫苗接種第三劑,A40082,"2022-03-09 12:12:37",A40082,"2022-03-09 12:12:37","2022-03-09 12:12:38",N,NULL
EVC202203090667,S20091,2022-03-09,0930,2022-03-09,1230,3,Y,Y,S20110,1V,N,特休,S20091,"2022-03-09 12:17:56",S20091,"2022-03-09 12:17:56","2022-03-09 12:17:57",Y,NULL
EVC202203100668,J40017,2022-03-09,0930,2022-03-09,1030,1,Y,Y,K40005,E,N,收框,J40017,"2022-03-10 08:42:03",J40017,"2022-03-10 08:42:03","2022-03-10 08:42:04",Y,NULL
EVC202203100669,J20040,2022-03-09,0930,2022-03-09,1000,0.5,Y,Y,K40005,E,N,收送鏡框,J20040,"2022-03-10 08:55:36",J20040,"2022-03-10 08:55:36","2022-03-10 08:55:36",Y,NULL
EVC202203100670,J20040,2022-03-08,0930,2022-03-08,1000,0.5,Y,Y,K40005,E,N,收送鏡框,J20040,"2022-03-10 08:56:09",J20040,"2022-03-10 08:56:09","2022-03-10 08:56:10",Y,NULL
EVC202203100671,S20108,2022-03-11,0900,2022-03-11,1800,8,F,Y,S20100,1V,N,測試～測試,S20108,"2022-03-10 11:06:33",S20108,"2022-03-10 11:06:33","2022-03-10 11:06:34",N,NULL
EVC202203100672,S20108,2022-03-14,0900,2022-03-14,1400,4,F,Y,S20100,1V,N,測試～測試,S20108,"2022-03-10 11:07:12",S20108,"2022-03-10 11:07:12","2022-03-10 11:07:13",N,NULL
EVC202203100673,S20108,2022-03-15,1400,2022-03-15,1800,4,F,Y,S20100,1V,N,測試～測試,S20108,"2022-03-10 11:07:38",S20108,"2022-03-10 11:07:38","2022-03-10 11:07:39",N,NULL
EVC202203100674,G20042,2022-03-11,0900,2022-03-11,1800,8,Y,Y,G20047,1V,N,特休,G20042,"2022-03-10 11:13:58",G20042,"2022-03-10 11:13:58","2022-03-10 11:13:59",N,NULL
EVC202203100675,I40014,2022-03-11,0900,2022-03-11,1800,8,Y,Y,I20028,E,N,跟黃經理北上,I40014,"2022-03-10 19:19:59",I40014,"2022-03-10 19:19:59","2022-03-10 19:19:59",N,NULL
EVC202203110676,J20042,2022-03-11,0900,2022-03-11,1800,8,Y,Y,J20037,1V,N,著涼，感冒,J20042,"2022-03-11 06:36:31",J20042,"2022-03-11 06:36:31","2022-03-11 06:36:31",N,NULL
EVC202203110677,S20108,2022-03-22,0900,2022-03-22,1800,8,F,Y,S20100,1V,N,測試～測試,S20108,"2022-03-11 08:12:17",S20108,"2022-03-11 08:12:17","2022-03-11 08:12:17",N,NULL
EVC202203110678,S20108,2022-03-23,0900,2022-03-23,1800,8,F,Y,S20100,H3,N,測試～測試,S20108,"2022-03-11 08:12:44",S20108,"2022-03-11 08:12:44","2022-03-11 08:12:45",N,NULL
EVC202203110679,A40104,2022-03-11,1430,2022-03-11,1830,4,Y,Y,B40031,1V,N,帶家人回診,A40104,"2022-03-11 10:36:39",A40104,"2022-03-11 10:36:39","2022-03-11 10:36:40",N,NULL
EVC202203110680,J40002,2022-03-11,0900,2022-03-11,1000,1,Y,Y,K40005,E,N,收框,J40002,"2022-03-11 11:10:12",J40002,"2022-03-11 11:10:12","2022-03-11 11:10:12",Y,NULL
EVC202203110681,J40002,2022-03-08,0900,2022-03-08,1000,1,Y,Y,K40005,E,N,收框,J40002,"2022-03-11 11:11:51",J40002,"2022-03-11 11:11:51","2022-03-11 11:11:51",Y,NULL
EVC202203110682,I20032,2022-03-18,0900,2022-03-18,1800,8,Y,Y,I20020,1V,N,年假,I20032,"2022-03-11 14:58:01",I20032,"2022-03-11 14:58:16","2022-03-11 14:58:16",N,NULL
EVC202203110683,S20108,2022-03-14,0900,2022-03-14,1800,8,Y,Y,S20100,D,N,原1/27&1/28加班,S20108,"2022-03-11 18:04:58",S20108,"2022-03-11 18:04:58","2022-03-11 18:04:58",N,NULL
EVC202203130684,S20108,2022-03-22,0900,2022-03-22,1400,4,F,Y,S20100,1V,N,測試銷假,S20108,"2022-03-13 07:02:38",S20108,"2022-03-13 07:02:38","2022-03-13 07:02:38",N,NULL
EVC202203130685,S20108,2022-03-23,0900,2022-03-23,1800,8,F,Y,S20100,D,N,測試銷假,S20108,"2022-03-13 07:03:04",S20108,"2022-03-13 07:03:04","2022-03-13 07:03:05",N,NULL
EVC202203130686,J20026,2022-03-17,0900,2022-03-17,1800,8,Y,Y,J20041,1V,N,特休,J20026,"2022-03-13 15:40:57",J20026,"2022-03-13 15:41:09","2022-03-13 15:41:09",N,NULL
EVC202203140687,S20108,2022-03-24,0900,2022-03-25,1800,16,F,Y,S20100,1V,N,測試銷假,S20108,"2022-03-14 09:26:46",S20108,"2022-03-14 09:26:46","2022-03-14 09:26:47",N,NULL
EVC202203140688,S20108,2022-03-29,0900,2022-03-29,1800,8,F,Y,S20100,D,N,測試銷假,S20108,"2022-03-14 09:27:04",S20108,"2022-03-14 09:27:04","2022-03-14 09:27:05",N,NULL
EVC202203140689,J40002,2022-03-14,0900,2022-03-14,1000,1,Y,Y,K40005,E,N,收框,J40002,"2022-03-14 09:36:13",J40002,"2022-03-14 09:36:13","2022-03-14 09:36:13",Y,NULL
EVC202203140690,J20040,2022-03-11,0930,2022-03-11,1100,1.5,Y,Y,K40005,E,N,收送鏡框,J20040,"2022-03-14 10:43:02",J20040,"2022-03-14 10:43:02","2022-03-14 10:43:03",Y,NULL
EVC202203140691,F20027,2022-03-15,1430,2022-03-15,1830,4,Y,Y,F20034,1V,N,,F20027,"2022-03-14 12:10:38",F20027,"2022-03-14 12:10:38","2022-03-14 12:10:39",N,NULL
EVC202203140692,L20004,2022-03-16,0930,2022-03-16,1830,8,Y,Y,L20036,1V,N,牙醫回診,L20004,"2022-03-14 13:01:22",L20004,"2022-03-14 13:01:22","2022-03-14 13:01:23",N,NULL
EVC202203140693,B40031,2022-03-16,0930,2022-03-16,1830,8,Y,Y,A40104,1V,N,,B40031,"2022-03-14 14:51:12",B40031,"2022-03-14 14:51:12","2022-03-14 14:51:13",N,NULL
EVC202203140694,A40106,2022-03-15,0900,2022-03-15,1800,8,Y,Y,A40103,1V,N,,A40106,"2022-03-14 17:26:36",A40106,"2022-03-14 17:26:36","2022-03-14 17:26:37",N,NULL
EVC202203150695,S20090,2022-03-18,0930,2022-03-18,1830,8,Y,Y,S000A9,1V,N,,S20090,"2022-03-15 09:31:51",S20090,"2022-03-15 09:31:51","2022-03-15 09:31:51",N,NULL
EVC202203150696,S20098,2022-03-16,0930,2022-03-16,1830,8,Y,Y,T20076,1V,N,,S20098,"2022-03-15 09:36:35",S20098,"2022-03-15 09:36:35","2022-03-15 09:36:35",N,NULL
EVC202203150697,S20018,2022-03-17,0930,2022-03-17,1830,8,Y,Y,S20041,1V,N,,S20018,"2022-03-15 09:50:21",S20018,"2022-03-15 09:50:21","2022-03-15 09:50:21",N,NULL
EVC202203150698,T20076,2022-04-08,1430,2022-04-08,1830,4,Y,Y,S000A6,1V,N,,T20076,"2022-03-15 10:01:44",T20076,"2022-03-15 10:01:44","2022-03-15 10:01:45",N,NULL
EVC202203150699,S20003,2022-03-18,0930,2022-03-18,1830,8,Y,Y,S20018,1V,N,,S20003,"2022-03-15 10:23:14",S20003,"2022-03-15 10:23:14","2022-03-15 10:23:15",N,NULL
EVC202203150700,S20091,2022-03-15,1630,2022-03-15,1830,2,Y,Y,S20110,1V,N,,S20091,"2022-03-15 10:35:31",S20091,"2022-03-15 10:35:31","2022-03-15 10:35:31",N,NULL
EVC202203150701,A40104,2022-03-21,0930,2022-03-21,1830,8,Y,Y,B40031,1V,N,醫院看病,A40104,"2022-03-15 13:11:58",A40104,"2022-03-15 13:37:52","2022-03-15 13:37:52",N,NULL
EVC202203150702,S000A3,2022-03-15,1500,2022-03-15,1830,3.5,Y,Y,S20100,D,N,看牙醫,S000A3,"2022-03-15 14:56:10",S000A3,"2022-03-15 14:57:29","2022-03-15 14:57:29",N,NULL
EVC202203150703,S00A10,2022-03-18,0930,2022-03-18,1830,8,Y,Y,S20060,C,N,家裡有事須請假,S00A10,"2022-03-15 17:57:32",S00A10,"2022-03-15 17:57:32","2022-03-15 17:57:32",N,NULL
EVC202203150704,S20060,2022-03-07,0930,2022-03-07,1200,2.5,Y,Y,S20110,1V,N,事假,S20060,"2022-03-15 18:26:41",S20060,"2022-03-15 18:26:41","2022-03-15 18:26:41",Y,NULL
EVC202203150705,S20060,2022-03-11,0930,2022-03-11,1200,2.5,Y,Y,S20110,1V,N,事假,S20060,"2022-03-15 18:27:27",S20060,"2022-03-15 18:27:27","2022-03-15 18:27:27",Y,NULL
EVC202203160706,J40017,2022-03-11,0930,2022-03-11,1030,1,Y,Y,K40005,E,N,收框,J40017,"2022-03-16 07:48:23",J40017,"2022-03-16 07:48:23","2022-03-16 07:48:23",Y,NULL
EVC202203160707,J40017,2022-03-14,0930,2022-03-14,1000,0.5,Y,Y,K40005,E,N,收框,J40017,"2022-03-16 07:50:04",J40017,"2022-03-16 07:50:04","2022-03-16 07:50:04",Y,NULL
EVC202203160708,J40017,2022-03-15,0930,2022-03-15,1000,0.5,Y,Y,K40005,E,N,收框,J40017,"2022-03-16 07:51:26",J40017,"2022-03-16 07:51:26","2022-03-16 07:51:26",Y,NULL
EVC202203160709,I20037,2022-03-24,0900,2022-03-24,1800,8,Y,Y,I40013,1V,N,,I20037,"2022-03-16 08:07:54",I20037,"2022-03-16 08:07:54","2022-03-16 08:07:54",N,NULL
EVC202203160710,S000A3,2022-03-16,0930,2022-03-16,1830,8,Y,Y,S20100,D,N,3/15晚上牙齒翻瓣手術3/16請休一天,S000A3,"2022-03-16 09:21:50",S000A3,"2022-03-16 09:23:21","2022-03-16 09:23:21",N,NULL
EVC202203160711,B20002,2022-03-17,0930,2022-03-18,1830,16,Y,Y,B40031,1V,N,處理私人事物,B20002,"2022-03-16 12:12:01",B20002,"2022-03-16 12:12:01","2022-03-16 12:12:02",N,NULL
EVC202203170712,M40026,2022-03-18,0930,2022-03-18,1830,8,Y,Y,M40070,1V,N,,M40026,"2022-03-17 12:10:58",M40026,"2022-03-17 12:10:58","2022-03-17 12:10:59",N,NULL
EVC202203170713,J20042,2022-03-17,1430,2022-03-17,1630,2,N,Y,J20028,1V,N,探訪親友檢查。,J20042,"2022-03-17 16:03:58",J20042,"2022-03-17 16:03:58","2022-03-17 16:03:58",Y,NULL
EVC202203170714,S20108,2022-03-21,0900,2022-03-22,1800,16,Y,Y,S20100,I1,N,打疫苗,S20108,"2022-03-17 16:41:10",S20108,"2022-03-17 16:41:10","2022-03-17 16:41:10",N,NULL
EVC202203170715,S20108,2022-03-18,0900,2022-03-18,1800,8,Y,Y,S20100,E,N,取料及消防隊取資料,S20108,"2022-03-17 16:43:22",S20108,"2022-03-17 16:43:22","2022-03-17 16:43:23",N,NULL
EVC202203180716,B40013,2022-03-16,0930,2022-03-16,1200,2.5,Y,Y,A00001,E,N,潘眼科對帳,B40013,"2022-03-18 10:50:46",B40013,"2022-03-18 10:50:46","2022-03-18 10:50:46",Y,NULL
EVC202203180717,J20041,2022-03-22,1400,2022-03-22,1800,4,Y,Y,J20026,1V,N,特休,J20041,"2022-03-18 11:49:35",J20041,"2022-03-18 11:49:35","2022-03-18 11:49:35",N,NULL
EVC202203180718,S20110,2022-03-18,1630,2022-03-18,1830,2,Y,Y,S20091,1V,N,特休假,S20110,"2022-03-18 11:53:37",S20110,"2022-03-18 11:53:37","2022-03-18 11:53:38",N,NULL
EVC202203180719,J20042,2022-03-18,1430,2022-03-18,1800,3.5,Y,Y,J20028,1V,N,親友加護病房探視,J20042,"2022-03-18 14:49:16",J20042,"2022-03-18 14:49:16","2022-03-18 14:49:16",Y,NULL
EVC202203210720,J20040,2022-03-21,0930,2022-03-21,1000,0.5,Y,Y,K40005,E,N,收送鏡框,J20040,"2022-03-21 09:52:48",J20040,"2022-03-21 09:52:48","2022-03-21 09:52:49",Y,NULL
EVC202203210721,J40007,2022-03-21,0930,2022-03-21,1130,2,Y,Y,K40005,E,N,收鏡框,J40007,"2022-03-21 11:24:41",J40007,"2022-03-21 11:24:41","2022-03-21 11:24:42",Y,NULL
EVC202203210722,I20020,2022-03-23,0900,2022-03-23,1800,8,Y,Y,I20032,1V,N,,I20020,"2022-03-21 12:57:05",I20020,"2022-03-21 12:57:05","2022-03-21 12:57:05",N,NULL
EVC202203210723,F40024,2022-03-23,0930,2022-03-24,1830,16,Y,Y,F20030,I1,N,施打疫苗第三劑,F40024,"2022-03-21 14:08:45",F40024,"2022-03-21 14:08:45","2022-03-21 14:08:45",N,NULL
EVC202203210724,J20045,2022-03-23,0900,2022-03-23,1800,8,Y,Y,J20032,1V,N,回診,J20045,"2022-03-21 16:24:38",J20045,"2022-03-21 16:24:38","2022-03-21 16:24:38",N,NULL
EVC202203220725,J40002,2022-03-21,0900,2022-03-21,1000,1,Y,Y,K40005,E,N,收框,J40002,"2022-03-22 07:42:08",J40002,"2022-03-22 07:42:08","2022-03-22 07:42:08",Y,NULL
EVC202203220726,J40002,2022-03-22,0900,2022-03-22,1000,1,Y,Y,K40005,E,N,收框,J40002,"2022-03-22 10:57:55",J40002,"2022-03-22 10:57:55","2022-03-22 10:57:55",Y,NULL
EVC202203220727,P20001,2022-03-23,0930,2022-03-25,1230,9,N,N,S000A6,1V,N,,P20001,"2022-03-22 11:19:58",SYS,"2022-07-10 09:34:40","2022-03-22 11:19:58",N,NULL
EVC202203220728,A40103,2022-03-21,1500,2022-03-22,1830,11.5,Y,Y,A40069,B,N,足部蜂窩性組織炎,A40103,"2022-03-22 14:47:07",A40103,"2022-03-22 14:47:07","2022-03-22 14:47:07",Y,NULL
EVC202203220729,S20018,2022-03-25,0930,2022-03-25,1830,8,Y,Y,S20003,1V,N,,S20018,"2022-03-22 17:26:02",S20018,"2022-03-22 17:26:02","2022-03-22 17:26:03",N,NULL
EVC202203220730,S20098,2022-03-24,0930,2022-03-24,1230,3,F,Y,T20076,1V,N,,S20098,"2022-03-22 17:52:44",S20098,"2022-03-22 17:52:44","2022-03-22 17:52:45",N,NULL
EVC202203220731,S000A3,2022-03-23,0930,2022-03-23,1830,8,Y,Y,S20100,D,N,手術拆線,S000A3,"2022-03-22 17:55:47",S000A3,"2022-03-22 17:56:27","2022-03-22 17:56:27",N,NULL
EVC202203220732,J40017,2022-03-21,0930,2022-03-21,1000,0.5,Y,Y,K40005,E,N,收框,J40017,"2022-03-22 21:32:13",J40017,"2022-03-22 21:32:13","2022-03-22 21:32:13",Y,NULL
EVC202203220733,J40017,2022-03-22,0930,2022-03-22,1000,0.5,Y,Y,K40005,E,N,收框,J40017,"2022-03-22 21:33:10",J40017,"2022-03-22 21:33:10","2022-03-22 21:33:10",Y,NULL
EVC202203220734,J40017,2022-03-17,0930,2022-03-17,1800,7.5,Y,Y,K40005,1V,N,年假,J40017,"2022-03-22 21:35:39",J40017,"2022-03-22 21:35:39","2022-03-22 21:35:39",Y,NULL
EVC202203230735,F20034,2022-03-24,0930,2022-03-24,1830,8,Y,Y,F20027,1V,N,,F20034,"2022-03-23 08:28:08",F20034,"2022-03-23 08:28:08","2022-03-23 08:28:08",N,NULL
EVC202203230736,C20005,2022-03-24,0900,2022-03-25,1830,16,Y,Y,L20068,1V,N,,C20005,"2022-03-23 09:03:57",C20005,"2022-03-23 09:03:57","2022-03-23 09:03:57",N,NULL
EVC202203230737,S20041,2022-03-25,0930,2022-03-25,1830,8,Y,Y,S20003,1V,N,請年假,S20041,"2022-03-23 11:03:21",S20041,"2022-03-23 11:03:21","2022-03-23 11:03:22",N,NULL
EVC202203230738,J20041,2022-03-23,1400,2022-03-23,1800,4,Y,Y,J20026,1V,N,,J20041,"2022-03-23 13:23:32",J20041,"2022-03-23 13:23:32","2022-03-23 13:23:33",N,NULL
EVC202203230739,M40066,2022-03-25,0930,2022-03-25,1830,8,Y,Y,M40068,1V,N,,M40066,"2022-03-23 14:36:24",M40066,"2022-03-23 14:36:24","2022-03-23 14:36:25",N,NULL
EVC202203230740,I40014,2022-03-25,0900,2022-03-25,1800,8,Y,Y,I20028,1V,N,,I40014,"2022-03-23 15:21:08",I40014,"2022-03-23 15:21:08","2022-03-23 15:21:09",N,NULL
EVC202203230741,I40013,2022-03-31,0900,2022-04-01,1800,16,Y,Y,I20037,I1,N,打疫苗,I40013,"2022-03-23 15:25:56",I40013,"2022-03-23 15:25:56","2022-03-23 15:25:56",N,NULL
EVC202203230742,B20002,2022-03-24,0930,2022-03-25,1830,16,Y,Y,B40031,1V,N,,B20002,"2022-03-23 15:44:47",B20002,"2022-03-23 15:44:47","2022-03-23 15:44:48",N,NULL
EVC202203230743,F20027,2022-03-31,0930,2022-03-31,1830,8,F,Y,F20034,1V,N,,F20027,"2022-03-23 18:08:54",F20027,"2022-03-23 18:08:54","2022-03-23 18:08:55",N,NULL
EVC202203230744,B40013,2022-03-25,0930,2022-03-25,1830,8,Y,Y,A00001,1V,N,親子旅遊,B40013,"2022-03-23 23:22:03",B40013,"2022-04-25 10:03:07","2022-04-25 10:03:07",Y,NULL
EVC202203240745,A40082,2022-03-24,0930,2022-03-24,1030,1,Y,Y,L20068,1V,N,看醫生,A40082,"2022-03-24 10:26:25",A40082,"2022-03-24 10:26:25","2022-03-24 10:26:25",Y,NULL
EVC202203240746,S20098,2022-03-24,0930,2022-03-24,1030,1,Y,Y,S000A6,1V,N,,S20098,"2022-03-24 10:45:45",S20098,"2022-03-24 10:45:45","2022-03-24 10:45:45",Y,NULL
EVC202203240747,J20040,2022-03-24,0930,2022-03-24,1030,1,Y,Y,K40005,E,N,收送鏡框,J20040,"2022-03-24 12:00:32",J20040,"2022-03-24 12:00:32","2022-03-24 12:00:33",Y,NULL
EVC202203240748,F20030,2022-03-25,1430,2022-03-25,1830,4,Y,Y,F40024,1V,N,,F20030,"2022-03-24 12:39:07",F20030,"2022-03-24 12:39:07","2022-03-24 12:39:07",N,NULL
EVC202203240749,M40001,2022-03-18,0930,2022-03-18,1100,1.5,Y,Y,M40026,E,N,客戶對帳,M40001,"2022-03-24 15:39:36",M40001,"2022-03-24 15:39:36","2022-03-24 15:39:36",Y,NULL
EVC202203240750,M40001,2022-03-25,0930,2022-03-25,1830,8,Y,Y,C40040,D,N,2/5補休,M40001,"2022-03-24 15:41:30",M40001,"2022-03-24 15:41:30","2022-03-24 15:41:30",N,NULL
EVC202203240751,J20042,2022-03-25,0900,2022-03-25,1800,8,Y,Y,J20028,1V,N,請假休息,J20042,"2022-03-24 17:24:50",J20042,"2022-03-24 17:24:50","2022-03-24 17:24:50",N,NULL
EVC202203240752,J20042,2022-03-31,0900,2022-03-31,1800,8,Y,Y,J20028,1V,N,請假休息,J20042,"2022-03-24 17:25:48",J20042,"2022-03-24 17:25:48","2022-03-24 17:25:48",N,NULL
EVC202203250753,J40002,2022-03-23,0900,2022-03-23,1100,2,Y,Y,K40005,E,N,對帳,J40002,"2022-03-25 07:54:09",J40002,"2022-03-25 07:54:09","2022-03-25 07:54:09",Y,NULL
EVC202203250754,J40002,2022-03-24,0900,2022-03-24,1000,1,Y,Y,K40005,E,N,收框,J40002,"2022-03-25 07:55:21",J40002,"2022-03-25 07:55:21","2022-03-25 07:55:21",Y,NULL
EVC202203250755,J40002,2022-03-25,0900,2022-03-25,1000,1,Y,Y,K40005,E,N,收框,J40002,"2022-03-25 07:55:54",J40002,"2022-03-25 07:55:54","2022-03-25 07:55:55",N,NULL
EVC202203250756,F20027,2022-03-22,0930,2022-03-22,1830,8,Y,Y,F20034,H3,N,,F20027,"2022-03-25 08:53:56",F20027,"2022-03-25 08:53:56","2022-03-25 08:53:56",Y,NULL
EVC202203250757,A40069,2022-03-25,0930,2022-03-25,1830,8,Y,Y,A40103,1V,N,帶兒子看醫生,A40069,"2022-03-25 08:59:55",A40069,"2022-03-25 08:59:55","2022-03-25 08:59:55",N,NULL
EVC202203250758,F20028,2022-03-28,0930,2022-03-28,1430,4,Y,Y,F40025,1V,N,,F20028,"2022-03-25 09:57:09",F20028,"2022-03-25 09:57:09","2022-03-25 09:57:10",N,NULL
EVC202203250759,J20045,2022-03-28,0900,2022-03-28,1800,8,Y,Y,J20032,1V,N,PCR檢測+注射治療,J20045,"2022-03-25 11:47:00",J20045,"2022-03-25 11:47:00","2022-03-25 11:47:00",N,NULL
EVC202203250760,J20045,2022-03-31,1330,2022-03-31,1800,4.5,Y,Y,J20032,1V,N,開刀,J20045,"2022-03-25 11:48:20",J20045,"2022-03-25 11:48:20","2022-03-25 11:48:20",N,NULL
EVC202203250761,J20045,2022-04-01,0900,2022-04-01,1800,8,Y,Y,J20032,1V,N,開刀,J20045,"2022-03-25 11:48:58",J20045,"2022-03-25 11:48:58","2022-03-25 11:48:59",N,NULL
EVC202203250762,J20046,2022-03-22,0900,2022-03-22,1800,8,N,Y,J20042,B,N,,J20046,"2022-03-25 12:05:03",SYS,"2022-07-10 09:34:40","2022-03-25 12:05:04",Y,NULL
EVC202203260763,S20041,2022-03-29,0930,2022-03-29,1830,8,N,Y,S20003,1V,N,,S20041,"2022-03-26 13:27:53",S20041,"2022-03-26 13:27:53","2022-03-26 13:27:54",N,NULL
EVC202203260764,F20027,2022-03-25,0930,2022-03-30,1830,48,Y,Y,F20034,H2,N,,F20027,"2022-03-26 22:06:48",F20027,"2022-03-26 22:06:48","2022-03-26 22:06:49",Y,NULL
EVC202203260765,F20027,2022-03-31,0930,2022-04-05,1830,48,Y,Y,F20034,H2,N,,F20027,"2022-03-26 22:07:34",F20027,"2022-03-26 22:07:34","2022-03-26 22:07:34",N,NULL
EVC202203260766,F20027,2022-04-06,0930,2022-04-11,1830,48,Y,Y,F20034,H2,N,,F20027,"2022-03-26 22:08:10",F20027,"2022-03-26 22:08:10","2022-03-26 22:08:11",N,NULL
EVC202203260767,F20027,2022-04-12,0930,2022-04-17,1830,48,Y,Y,F20034,H2,N,,F20027,"2022-03-26 22:08:48",F20027,"2022-03-26 22:08:48","2022-03-26 22:08:49",N,NULL
EVC202203260768,F20027,2022-04-18,0930,2022-04-23,1830,48,Y,Y,F20034,H2,N,,F20027,"2022-03-26 22:09:23",F20027,"2022-03-26 22:09:23","2022-03-26 22:09:23",N,NULL
EVC202203260769,F20027,2022-04-24,0930,2022-04-29,1830,48,Y,Y,F20034,H2,N,,F20027,"2022-03-26 22:10:11",F20027,"2022-03-26 22:10:11","2022-03-26 22:10:12",N,NULL
EVC202203260770,F20027,2022-04-30,0930,2022-05-05,1830,48,Y,Y,F20034,H2,N,,F20027,"2022-03-26 22:11:22",F20027,"2022-03-26 22:11:22","2022-03-26 22:11:23",N,NULL
EVC202203260771,F20027,2022-05-06,0930,2022-05-11,1830,48,Y,Y,F20034,H2,N,,F20027,"2022-03-26 22:13:36",F20027,"2022-03-26 22:13:36","2022-03-26 22:13:36",N,NULL
EVC202203260772,F20027,2022-05-12,0930,2022-05-17,1830,48,Y,Y,F20034,H2,N,,F20027,"2022-03-26 22:14:09",F20027,"2022-03-26 22:14:09","2022-03-26 22:14:10",N,NULL
EVC202203260773,F20027,2022-05-18,0930,2022-05-19,1830,16,Y,Y,F20034,H2,N,,F20027,"2022-03-26 22:29:48",F20027,"2022-03-26 22:29:48","2022-03-26 22:29:48",N,NULL
EVC202203270774,A40082,2022-03-31,1630,2022-03-31,1830,2,Y,Y,L20068,1V,N,接小孩看醫生,A40082,"2022-03-27 08:52:50",A40082,"2022-03-27 08:52:50","2022-03-27 08:52:51",N,NULL
EVC202203270775,F20027,2022-05-20,0930,2022-05-25,1830,48,N,Y,F20034,F,N,,F20027,"2022-03-27 09:04:51",F20027,"2022-03-27 09:04:51","2022-03-27 09:04:52",N,NULL
EVC202203270776,F20027,2022-05-26,0930,2022-05-27,1830,16,N,Y,F20034,F,N,,F20027,"2022-03-27 09:06:11",F20027,"2022-03-27 09:06:11","2022-03-27 09:06:11",N,NULL
EVC202203280777,F20027,2022-05-20,0930,2022-05-20,1830,8,Y,Y,F20034,F,N,,F20027,"2022-03-28 08:55:06",F20027,"2022-03-28 08:55:06","2022-03-28 08:55:07",N,NULL
EVC202203280778,F20027,2022-05-23,0930,2022-05-27,1830,40,Y,Y,F20034,F,N,,F20027,"2022-03-28 08:55:56",F20027,"2022-03-28 08:55:56","2022-03-28 08:55:57",N,NULL
EVC202203280779,L20064,2022-03-28,0930,2022-03-28,1000,0.5,Y,Y,L20065,1V,N,,L20064,"2022-03-28 10:40:04",L20064,"2022-03-28 10:40:04","2022-03-28 10:40:04",Y,NULL
EVC202203280780,I20030,2022-04-29,0900,2022-04-29,1800,8,Y,Y,I40014,1V,N,,I20030,"2022-03-28 11:27:19",I20030,"2022-03-28 11:27:19","2022-03-28 11:27:20",N,NULL
EVC202203280781,I20020,2022-03-30,0900,2022-03-30,1800,8,Y,Y,I20032,1V,N,,I20020,"2022-03-28 12:05:39",I20020,"2022-03-28 12:05:39","2022-03-28 12:05:39",N,NULL
EVC202203280782,B40031,2022-03-28,1430,2022-03-28,1830,4,Y,Y,A40104,1V,N,感冒,B40031,"2022-03-28 12:49:12",B40031,"2022-03-28 12:49:12","2022-03-28 12:49:13",N,NULL
EVC202203280783,F20028,2022-03-29,0930,2022-03-29,1200,2.5,Y,Y,F40025,1V,N,,F20028,"2022-03-28 19:11:39",F20028,"2022-03-28 19:11:39","2022-03-28 19:11:39",N,NULL
EVC202203290784,S000A3,2022-03-29,0930,2022-03-29,1830,8,Y,Y,S20100,D,N,補休,S000A3,"2022-03-29 01:13:52",S000A3,"2022-03-29 01:14:12","2022-03-29 01:14:12",N,NULL
EVC202203290785,J20040,2022-03-28,0930,2022-03-28,1000,0.5,Y,Y,K40005,E,N,收送鏡框,J20040,"2022-03-29 09:17:00",J20040,"2022-03-29 09:17:00","2022-03-29 09:17:01",Y,NULL
EVC202203290786,J40002,2022-03-28,0900,2022-03-28,1000,1,Y,Y,K40005,E,N,收框,J40002,"2022-03-29 09:31:30",J40002,"2022-03-29 09:31:30","2022-03-29 09:31:30",Y,NULL
EVC202203290787,J40002,2022-03-29,0900,2022-03-29,1000,1,Y,Y,K40005,E,N,收框,J40002,"2022-03-29 09:32:03",J40002,"2022-03-29 09:32:03","2022-03-29 09:32:04",Y,NULL
